school_name,conference_name,fouls,goals,assists,points,shots,shots_on_goal,ground_balls,turnovers,caused_turnovers,free_position_shots,free_position_goals,red_cards,yellow_cards,green_cards,draw_controls,team_id,season,ncaa_division,ncaa_division_formatted,sport_id,overall_wins,overall_losses,conference_wins,conference_losses,home_wins,home_losses,road_wins,road_losses,neutral_wins,neutral_losses,goalie_minutes_played,goals_allowed,saves,school_id,games_played
Eastern Mich.,MAC,172,198,88,286,474,330,298,286,141,91,39,1,29,29,238,593878,2025,1,I,WLA,8,9,4,2,4,3,4,5,0,1,1019:22:00,193,180,204,17
Youngstown St.,MAC,311,201,58,259,436,334,277,236,148,98,57,,38,24,212,593879,2025,1,I,WLA,7,8,2,4,3,5,4,3,0,0,900:00:00,182,107,817,15
Wofford,Big South,239,243,108,351,537,404,382,336,205,104,42,1,41,63,252,593880,2025,1,I,WLA,9,10,5,3,4,5,5,5,0,0,1142:21:00,274,151,2915,19
Arizona St.,Big 12,387,283,131,414,600,446,290,261,108,159,65,,41,32,348,593881,2025,1,I,WLA,11,8,3,2,7,2,4,3,0,3,1139:07:00,261,213,28,19
Kent St.,MAC,172,164,70,234,440,321,315,292,139,61,29,,22,44,201,593882,2025,1,I,WLA,6,11,1,5,2,6,3,5,1,0,1036:00:00,199,160,331,17
American,Patriot,158,167,91,258,383,278,205,247,144,60,24,,18,14,174,593883,2025,1,I,WLA,5,11,1,8,3,4,2,7,0,0,965:36:00,214,188,23,16
Boston U.,Patriot,251,186,74,260,423,313,303,267,110,92,48,,19,30,182,593884,2025,1,I,WLA,8,8,3,6,4,5,4,3,0,0,962:11:00,185,152,68,16
Brown,Ivy League,134,244,143,387,542,397,222,200,128,84,38,,25,33,265,593885,2025,1,I,WLA,10,7,4,3,5,2,4,4,1,1,1027:57:00,183,134,80,17
Bryant,America East,138,222,93,315,546,400,317,272,236,88,43,,40,57,212,593886,2025,1,I,WLA,11,7,5,1,6,5,5,2,0,0,1079:19:00,207,146,81,18
Bucknell,Patriot,218,147,68,215,405,280,321,242,182,70,33,1,19,41,120,593887,2025,1,I,WLA,6,10,2,7,4,4,1,6,1,0,959:20:00,191,114,83,16
Butler,Big East,170,95,31,126,280,201,180,202,82,59,23,,17,42,119,593888,2025,1,I,WLA,0,14,0,6,0,5,0,8,0,1,840:54:00,214,142,87,14
California,ACC,252,154,78,232,379,267,216,261,98,71,33,,27,27,187,593889,2025,1,I,WLA,6,10,0,9,1,6,4,4,1,0,962:30:00,224,133,107,16
UC Davis,Big 12,172,184,84,268,389,295,192,225,65,86,44,,15,14,237,593890,2025,1,I,WLA,6,10,3,3,1,5,4,4,1,1,949:00:00,233,177,108,16
Campbell,CAA,260,163,67,230,428,302,230,250,157,71,33,,37,48,199,593891,2025,1,I,WLA,3,12,1,7,2,7,1,5,0,0,902:04:00,213,126,115,15
Canisius,MAAC,220,178,70,248,430,328,264,246,151,90,35,,21,25,203,593892,2025,1,I,WLA,6,10,3,5,3,3,3,7,0,0,962:07:00,217,123,116,16
Central Conn. St.,NEC,184,71,21,92,210,149,232,292,96,51,19,,30,41,135,593893,2025,1,I,WLA,2,13,2,7,1,5,1,8,0,0,900:00:00,260,163,127,15
Central Mich.,MAC,147,126,64,190,357,256,227,275,124,69,26,,22,26,178,593894,2025,1,I,WLA,5,10,3,3,3,3,2,6,0,1,906:36:00,181,183,129,15
Cincinnati,Big 12,287,202,92,294,501,361,290,287,162,80,40,,27,45,206,593895,2025,1,I,WLA,8,9,1,4,4,4,4,5,0,0,1006:15:00,193,119,140,17
Colgate,Patriot,203,213,75,288,507,381,217,227,113,92,46,,23,45,268,593896,2025,1,I,WLA,9,8,5,5,5,1,3,7,1,0,1012:14:00,219,131,153,17
Colorado,Big 12,278,178,86,264,483,349,250,221,142,88,29,,33,29,229,593897,2025,1,I,WLA,8,8,4,1,5,4,3,2,0,2,960:00:00,176,100,157,16
Columbia,Ivy League,188,129,79,208,396,256,233,233,116,61,24,,29,30,154,593898,2025,1,I,WLA,4,11,0,7,2,6,2,5,0,0,900:00:00,202,162,158,15
UConn,Big East,242,239,127,366,514,379,286,276,168,63,33,,43,31,272,593899,2025,1,I,WLA,11,6,4,2,7,1,4,4,0,1,1032:00:00,176,135,164,17
Cornell,Ivy League,259,214,119,333,462,361,228,181,137,62,28,,23,35,221,593900,2025,1,I,WLA,9,6,3,4,5,2,4,4,0,0,901:59:00,170,110,167,15
Dartmouth,Ivy League,191,187,76,263,435,317,178,226,91,79,42,,27,27,263,593901,2025,1,I,WLA,9,6,2,5,4,3,3,3,2,0,900:00:00,162,131,172,15
Davidson,Atlantic 10,166,217,111,328,497,347,322,253,162,93,38,,12,22,198,593902,2025,1,I,WLA,12,5,8,2,6,2,6,2,0,1,1028:53:00,153,152,173,17
Delaware St.,NEC,172,91,28,119,311,208,196,254,130,71,19,,29,32,165,593903,2025,1,I,WLA,1,14,0,9,1,7,0,7,0,0,889:51:00,246,137,178,15
Delaware,CAA,236,209,100,309,458,359,275,234,179,88,48,,21,67,210,593905,2025,1,I,WLA,10,6,6,2,4,4,6,2,0,0,959:09:00,186,125,180,16
Detroit Mercy,MAC,204,148,71,219,354,266,234,247,101,47,18,,36,48,153,593906,2025,1,I,WLA,6,9,3,3,3,3,3,5,0,1,900:00:00,209,167,184,15
Drexel,CAA,224,259,99,358,564,411,337,241,148,135,62,,26,25,272,593907,2025,1,I,WLA,14,4,7,1,9,1,5,3,0,0,1083:11:00,178,173,191,18
Duke,ACC,337,261,145,406,574,428,270,266,173,105,41,,36,29,298,593909,2025,1,I,WLA,14,6,6,3,7,1,6,4,1,1,1201:31:00,211,157,193,20
Duquesne,Atlantic 10,281,166,71,237,391,301,283,262,186,80,36,1,35,56,180,593911,2025,1,I,WLA,5,10,2,8,2,6,3,4,0,0,870:33:00,211,121,194,15
Fairfield,MAAC,264,236,139,375,500,363,296,285,156,73,30,,35,36,282,593913,2025,1,I,WLA,11,8,7,1,5,3,4,5,2,0,1128:55:00,224,134,220,19
Furman,Big South,239,299,148,447,566,418,270,248,131,68,36,,27,26,308,593914,2025,1,I,WLA,14,4,7,1,10,0,4,3,0,1,1074:29:00,197,126,244,18
George Mason,Atlantic 10,159,183,64,247,425,337,314,240,141,66,27,,36,73,226,593916,2025,1,I,WLA,7,10,2,8,5,4,2,5,0,1,1016:32:00,226,152,248,17
George Washington,Atlantic 10,203,181,85,266,469,339,290,227,117,97,38,,33,17,201,593917,2025,1,I,WLA,8,9,2,8,4,4,4,5,0,0,1020:00:00,189,136,249,17
Georgetown,Big East,219,225,121,346,536,410,261,270,154,96,40,,22,25,264,593919,2025,1,I,WLA,9,8,4,2,7,3,2,4,0,1,1026:23:00,203,135,251,17
Harvard,Ivy League,232,194,112,306,468,338,276,188,160,89,44,,21,35,196,593921,2025,1,I,WLA,9,6,3,4,6,1,3,5,0,0,903:00:00,151,116,275,15
Hofstra,CAA,192,190,95,285,403,295,241,244,103,57,27,,28,24,209,593923,2025,1,I,WLA,9,7,4,4,4,4,5,3,0,0,960:00:00,176,125,283,16
Holy Cross,Patriot,271,239,141,380,528,389,284,313,163,75,35,,38,28,295,593924,2025,1,I,WLA,10,8,5,4,4,4,6,3,0,1,1078:23:00,223,165,285,18
Howard,NEC,173,95,17,112,297,215,316,244,81,69,25,,24,34,177,593926,2025,1,I,WLA,1,14,1,8,1,5,0,9,0,0,890:16:00,253,138,290,15
Iona,MAAC,327,175,87,262,503,358,304,293,187,93,34,,49,62,180,593928,2025,1,I,WLA,9,9,6,2,3,4,6,4,0,1,1092:47:00,182,149,310,18
Jacksonville,ASUN,194,213,106,319,490,369,229,221,106,86,42,,27,37,280,593930,2025,1,I,WLA,10,6,6,0,6,5,4,0,0,1,961:13:00,169,135,316,16
James Madison,The American,258,267,106,373,613,492,279,290,160,98,43,,23,40,339,593932,2025,1,I,WLA,14,5,6,0,7,4,5,1,2,0,1124:03:00,194,169,317,19
Johns Hopkins,Big Ten,369,272,176,448,618,456,376,312,257,94,48,,41,32,285,593935,2025,1,I,WLA,13,7,5,3,6,3,6,3,1,1,1208:28:00,231,148,322,20
La Salle,Atlantic 10,81,109,44,153,310,214,198,274,91,58,12,,30,43,158,593937,2025,1,I,WLA,1,15,0,10,0,8,1,7,0,0,900:00:00,246,189,340,16
Lafayette,Patriot,187,143,76,219,379,277,272,255,107,55,24,,18,19,193,593939,2025,1,I,WLA,6,10,2,7,3,5,3,5,0,0,960:00:00,208,132,342,16
Lehigh,Patriot,171,154,58,212,394,294,189,220,94,102,48,,17,27,169,593941,2025,1,I,WLA,6,10,3,7,3,4,3,6,0,0,946:52:00,216,155,352,16
Liberty,ASUN,459,290,132,422,694,491,443,432,346,136,56,,59,74,347,593942,2025,1,I,WLA,12,8,5,1,8,2,4,6,0,0,1199:32:00,281,180,355,20
Longwood,Big South,185,111,53,164,287,208,220,283,142,69,28,,38,58,142,593944,2025,1,I,WLA,1,14,1,7,0,7,1,7,0,0,900:00:00,251,170,363,15
Louisville,ACC,274,144,55,199,412,289,235,288,125,101,36,,37,27,195,593945,2025,1,I,WLA,7,10,1,8,4,4,3,6,0,0,1022:29:00,210,162,367,17
UMass Lowell,America East,274,218,87,305,497,361,225,261,117,85,44,,55,45,229,593947,2025,1,I,WLA,11,6,5,1,5,1,5,4,1,1,1017:23:00,197,165,368,17
Manhattan,MAAC,214,123,64,187,340,244,270,277,134,77,31,,29,50,157,593950,2025,1,I,WLA,2,14,1,7,1,6,1,8,0,0,963:34:00,233,154,381,16
Marist,MAAC,241,148,75,223,407,277,244,272,111,52,16,,28,31,195,593951,2025,1,I,WLA,3,14,2,6,2,6,1,7,0,1,1016:47:00,234,154,386,17
Marquette,Big East,230,223,110,333,530,382,312,238,172,88,31,,29,56,218,593953,2025,1,I,WLA,10,6,3,3,6,2,4,4,0,0,962:11:00,213,128,387,16
UMBC,America East,246,238,109,347,541,394,282,218,130,72,40,,40,28,258,593955,2025,1,I,WLA,11,5,3,3,6,3,4,2,1,0,959:34:00,167,118,391,16
Maryland,Big Ten,273,261,118,379,617,472,278,278,131,126,58,,27,31,303,593957,2025,1,I,WLA,15,6,7,1,10,2,5,3,0,1,1264:19:00,205,191,392,21
Massachusetts,Atlantic 10,279,319,166,485,699,516,349,249,211,119,49,1,39,49,326,593959,2025,1,I,WLA,15,4,10,0,7,1,7,2,1,1,1138:15:00,196,140,400,19
Michigan,Big Ten,276,263,127,390,617,438,270,272,141,130,60,,31,48,279,593961,2025,1,I,WLA,13,7,5,3,6,1,4,6,3,0,1200:49:00,181,194,418,20
Monmouth,CAA,187,154,85,239,419,312,225,255,110,74,31,,45,23,195,593963,2025,1,I,WLA,3,13,0,8,1,7,2,5,0,1,959:59:00,212,187,439,16
Mount St. Mary's,MAAC,168,192,66,258,426,322,258,255,127,124,66,,25,11,231,593965,2025,1,I,WLA,11,6,7,1,5,5,6,1,0,0,1017:36:00,160,132,450,17
North Carolina,ACC,326,384,203,587,808,614,380,252,203,129,62,,27,33,348,593967,2025,1,I,WLA,22,0,9,0,9,0,8,0,5,0,1305:41:00,151,156,457,22
New Hampshire,America East,159,124,54,178,312,225,183,241,83,75,35,,23,40,137,593969,2025,1,I,WLA,2,13,0,6,1,5,1,8,0,0,875:23:00,236,163,469,15
Notre Dame,ACC,233,175,77,252,448,317,236,208,153,76,27,,27,37,174,593971,2025,1,I,WLA,7,8,2,7,4,4,3,4,0,0,885:41:00,142,124,513,15
Ohio St.,Big Ten,271,169,66,235,433,303,241,213,124,92,35,2,22,34,178,593973,2025,1,I,WLA,8,7,1,7,4,4,4,3,0,0,908:39:00,142,139,518,15
Old Dominion,The American,224,181,55,236,416,310,228,283,149,99,42,,43,52,211,593975,2025,1,I,WLA,8,9,1,5,4,2,4,7,0,0,993:15:00,175,144,523,17
Oregon,Big Ten,315,172,51,223,425,296,235,246,105,81,40,,29,26,216,593976,2025,1,I,WLA,6,10,0,8,5,4,1,6,0,0,959:18:00,221,127,529,16
Penn St.,Big Ten,310,182,86,268,457,311,293,286,132,107,49,,27,29,246,593978,2025,1,I,WLA,7,9,5,3,4,4,3,4,0,1,968:40:00,194,134,539,16
Penn,Ivy League,194,248,130,378,597,419,324,283,149,89,39,,24,29,260,593980,2025,1,I,WLA,12,7,5,2,5,2,6,4,1,1,1167:42:00,192,182,540,19
Princeton,Ivy League,313,308,132,440,712,518,304,222,140,130,66,,35,43,302,593981,2025,1,I,WLA,16,4,6,1,8,2,7,2,1,0,1199:05:00,233,215,554,20
Quinnipiac,MAAC,324,239,103,342,517,391,276,259,180,86,42,,38,68,219,593983,2025,1,I,WLA,10,8,4,4,6,3,3,5,1,0,1062:16:00,201,175,562,18
Radford,Big South,162,152,68,220,412,312,210,244,117,72,28,,35,43,207,593984,2025,1,I,WLA,2,14,0,8,2,8,0,6,0,0,959:41:00,267,190,563,16
Rutgers,Big Ten,268,187,90,277,478,346,281,260,133,81,31,,37,24,204,593986,2025,1,I,WLA,8,10,2,6,5,4,3,6,0,0,1081:33:00,195,201,587,18
Sacred Heart,MAAC,195,136,62,198,413,281,289,235,169,81,28,,33,38,138,593987,2025,1,I,WLA,6,10,4,4,3,5,3,4,0,1,972:47:00,155,111,590,16
St. Bonaventure,Atlantic 10,163,239,101,340,561,414,248,266,121,112,49,,13,34,293,593989,2025,1,I,WLA,10,8,6,4,4,5,6,3,0,0,1084:47:00,190,170,596,18
Saint Francis,NEC,206,194,81,275,481,369,318,249,153,70,37,,33,37,219,593991,2025,1,I,WLA,7,10,5,4,3,4,4,6,0,0,1021:51:00,178,149,600,17
Saint Joseph's,Atlantic 10,319,240,112,352,580,416,261,243,140,111,48,,21,37,270,593993,2025,1,I,WLA,11,8,9,1,4,2,6,5,1,1,1148:53:00,207,160,606,19
San Diego St.,Big 12,316,226,76,302,530,413,324,202,126,143,61,,18,27,232,593995,2025,1,I,WLA,5,11,0,6,1,7,4,4,0,0,960:00:00,266,173,626,16
Siena,MAAC,266,190,85,275,487,338,283,233,113,88,38,,26,37,230,593996,2025,1,I,WLA,9,9,6,2,5,3,4,5,0,1,1069:21:00,203,130,639,18
Southern California,Big Ten,342,222,96,318,497,369,263,238,138,80,38,,22,38,236,593998,2025,1,I,WLA,10,7,3,5,5,4,4,2,1,1,1018:39:00,187,114,657,17
Stetson,ASUN,207,163,95,258,380,296,234,266,115,59,23,,24,40,221,594000,2025,1,I,WLA,5,11,0,6,3,4,1,7,1,0,960:00:00,265,162,678,16
Syracuse,ACC,373,235,112,347,538,402,295,270,153,90,44,,23,40,240,594002,2025,1,I,WLA,10,9,5,4,5,4,4,4,1,1,1149:18:00,221,162,688,19
Temple,The American,186,156,79,235,391,273,271,309,135,64,23,,22,29,188,594004,2025,1,I,WLA,4,12,2,4,2,5,2,7,0,0,963:34:00,220,180,690,16
Towson,CAA,289,196,89,285,494,345,278,222,127,88,37,,34,36,200,594006,2025,1,I,WLA,7,9,3,5,4,5,3,4,0,0,966:42:00,193,166,711,16
Army West Point,Patriot,178,237,110,347,568,406,258,209,151,107,50,,18,45,226,594008,2025,1,I,WLA,13,4,8,1,7,0,6,2,0,2,1020:00:00,175,135,725,17
Navy,Patriot,244,328,132,460,756,538,334,281,160,135,69,,34,63,380,594010,2025,1,I,WLA,15,6,7,2,6,2,8,3,1,1,1270:39:00,208,153,726,21
Vanderbilt,The American,272,238,111,349,532,404,292,226,142,115,48,,20,32,237,594013,2025,1,I,WLA,9,9,3,3,4,4,5,5,0,0,1064:46:00,228,155,736,18
Vermont,America East,230,186,96,282,447,309,245,188,114,63,25,1,16,36,193,594014,2025,1,I,WLA,6,9,2,4,2,2,4,7,0,0,901:11:00,184,106,738,15
Villanova,Big East,248,235,132,367,557,390,289,307,175,95,39,,30,38,286,594016,2025,1,I,WLA,11,7,4,2,8,3,3,3,0,1,1083:44:00,189,117,739,18
VCU,Atlantic 10,318,210,117,327,523,379,295,301,211,110,45,,37,37,253,594018,2025,1,I,WLA,8,11,5,5,2,7,5,3,1,1,1140:00:00,225,131,740,19
Virginia Tech,ACC,283,197,70,267,475,333,240,249,121,79,38,,42,43,234,594019,2025,1,I,WLA,9,9,3,6,5,5,4,3,0,1,1080:00:00,239,177,742,18
Virginia,ACC,234,262,123,385,575,434,271,236,165,112,51,,25,41,308,594021,2025,1,I,WLA,12,7,5,4,6,3,5,3,1,1,1139:02:00,218,151,746,19
Wagner,NEC,122,160,74,234,393,307,268,249,128,76,34,,26,28,194,594023,2025,1,I,WLA,8,7,8,1,5,2,3,4,0,1,903:15:00,168,123,748,15
William & Mary,CAA,265,185,73,258,430,314,293,240,129,71,25,,33,30,204,594024,2025,1,I,WLA,6,10,2,6,3,3,3,6,0,1,960:00:00,230,138,786,16
Winthrop,Big South,220,202,88,290,501,370,275,291,140,89,38,,43,32,272,594026,2025,1,I,WLA,6,11,4,4,5,4,1,7,0,0,1026:00:00,258,155,792,17
Elon,CAA,262,189,78,267,461,351,226,249,128,83,34,1,29,32,255,594028,2025,1,I,WLA,9,8,5,3,6,3,3,5,0,0,1020:52:00,209,114,1068,17
Gardner-Webb,Big South,231,100,41,141,299,209,263,345,172,59,21,,30,47,157,594030,2025,1,I,WLA,3,14,3,5,2,7,1,7,0,0,1004:48:00,254,179,1092,17
Kennesaw St.,ASUN,189,196,66,262,450,327,228,250,122,122,55,,25,30,224,594031,2025,1,I,WLA,5,11,1,5,2,6,3,5,0,0,959:54:00,238,146,1157,16
Presbyterian,Big South,205,165,53,218,414,297,235,266,129,119,48,,20,25,177,594034,2025,1,I,WLA,5,12,2,6,3,7,2,5,0,0,1019:51:00,249,147,1320,17
High Point,Big South,239,307,128,435,628,480,306,243,153,121,67,,39,40,288,594035,2025,1,I,WLA,12,6,7,1,7,1,5,5,0,0,1069:50:00,221,168,19651,18
East Carolina,The American,226,194,92,286,437,319,261,234,125,82,38,,14,38,203,594038,2025,1,I,WLA,7,10,4,2,3,4,4,4,0,2,1032:29:00,236,169,196,17
UAlbany,America East,330,232,96,328,541,382,275,283,151,70,44,,45,33,274,594039,2025,1,I,WLA,9,10,4,2,5,4,4,6,0,0,1140:00:00,242,114,14,19
Merrimack,MAAC,168,132,60,192,346,260,251,272,128,64,29,,35,31,192,594041,2025,1,I,WLA,1,14,0,8,0,7,1,7,0,0,899:10:00,211,130,410,15
Akron,MAC,259,222,112,334,529,401,333,260,141,70,27,,33,37,247,594043,2025,1,I,WLA,11,8,4,2,7,1,2,6,2,1,1144:10:00,208,156,5,19
Pittsburgh,ACC,376,189,79,268,429,304,300,318,174,108,50,,32,34,226,594045,2025,1,I,WLA,8,8,2,7,5,3,3,5,0,0,964:07:00,183,140,545,16
Stonehill,NEC,201,230,86,316,503,381,315,261,130,115,57,,45,47,240,594047,2025,1,I,WLA,11,7,8,1,7,3,4,3,0,1,1080:00:00,191,149,682,18
Queens (NC),ASUN,305,216,106,322,461,351,325,265,208,74,36,,47,63,166,594049,2025,1,I,WLA,6,11,3,3,4,5,2,6,0,0,1020:00:00,242,146,11504,17
Lindenwood,ASUN,194,221,81,302,472,366,238,276,110,78,33,,32,20,292,594050,2025,1,I,WLA,10,6,3,3,4,2,6,4,0,0,960:55:00,228,179,30136,16
FDU,NEC,214,149,55,204,359,266,255,271,123,79,38,,40,45,169,594052,2025,1,I,WLA,5,11,4,5,3,4,2,7,0,0,960:00:00,189,151,222,16
Clemson,ACC,399,293,136,429,664,494,402,309,246,112,50,,46,23,292,594054,2025,1,I,WLA,14,7,6,3,7,3,5,3,2,1,1259:38:00,198,166,147,21
Xavier,Big East,308,129,43,172,371,271,267,309,121,72,39,,34,61,210,594055,2025,1,I,WLA,2,13,1,5,1,5,1,7,0,1,900:32:00,249,151,812,15
Le Moyne,NEC,281,146,75,221,371,270,255,267,101,64,26,,35,39,160,594057,2025,1,I,WLA,4,13,3,6,3,6,1,7,0,0,1020:00:00,204,158,349,17
Rider,MAAC,241,218,78,296,515,377,275,293,127,131,61,,27,63,302,594059,2025,1,I,WLA,8,10,3,6,5,2,2,8,1,0,1082:06:00,233,151,576,18
Binghamton,America East,208,161,66,227,380,274,209,229,108,119,55,,20,23,179,594061,2025,1,I,WLA,5,10,2,4,1,5,4,5,0,0,890:13:00,199,136,62,15
Boston College,ACC,275,375,207,582,775,553,290,246,178,130,65,1,24,30,338,594062,2025,1,I,WLA,19,3,8,1,9,0,8,1,2,2,1319:58:00,170,212,67,22
Coastal Carolina,ASUN,212,240,88,328,523,387,233,235,130,114,56,1,35,37,273,594064,2025,1,I,WLA,8,10,3,3,3,6,4,4,1,0,1069:11:00,245,170,149,18
Denver,Big East,422,288,133,421,612,457,350,315,225,127,73,1,42,36,290,594065,2025,1,I,WLA,14,6,5,1,6,1,6,5,2,0,1205:33:00,190,169,183,20
Florida,Big 12,302,368,180,548,749,584,362,238,188,128,63,,30,39,329,594067,2025,1,I,WLA,20,3,5,0,11,1,8,0,1,2,1388:50:00,217,188,235,23
LIU,NEC,151,199,106,305,507,368,294,241,127,66,30,,33,42,228,594070,2025,1,I,WLA,12,7,8,1,6,2,5,5,1,0,1148:56:00,176,154,361,19
Loyola Maryland,Patriot,255,305,154,459,646,477,283,311,126,75,36,,19,17,405,594072,2025,1,I,WLA,13,7,9,0,8,3,5,3,0,1,1209:43:00,212,176,369,20
Mercer,Big South,235,288,102,390,664,510,358,268,170,114,54,,35,50,292,594074,2025,1,I,WLA,12,8,7,1,6,5,5,3,1,0,1204:39:00,224,146,406,20
Niagara,MAAC,278,169,64,233,440,336,271,296,167,85,30,,29,44,185,594075,2025,1,I,WLA,7,11,5,3,4,2,3,8,0,1,1085:20:00,249,167,482,18
Northwestern,Big Ten,455,342,158,500,754,570,391,344,228,167,79,,41,42,381,594077,2025,1,I,WLA,19,3,8,0,11,2,6,0,2,1,1320:00:00,190,186,509,22
Richmond,Atlantic 10,259,248,133,381,562,413,294,265,134,100,43,,34,47,261,594079,2025,1,I,WLA,11,8,7,3,7,4,3,4,1,0,1139:57:00,204,177,575,19
Robert Morris,MAC,205,192,98,290,451,350,332,335,150,83,38,,23,49,231,594080,2025,1,I,WLA,8,11,4,2,4,5,3,5,1,1,1159:46:00,226,176,579,19
Stanford,ACC,291,283,124,407,623,449,386,323,213,134,65,,30,39,286,594082,2025,1,I,WLA,15,6,7,2,7,2,6,3,2,1,1272:33:00,193,167,674,21
Stony Brook,CAA,362,307,172,479,710,518,354,268,217,111,52,,54,43,296,594084,2025,1,I,WLA,16,5,8,0,7,1,8,4,1,0,1263:39:00,185,137,683,21
Yale,Ivy League,258,268,123,391,669,488,339,212,169,132,60,,18,33,299,594086,2025,1,I,WLA,16,4,5,2,9,1,6,3,1,0,1212:48:00,176,116,813,20
Mercyhurst,NEC,94,176,86,262,415,306,269,223,118,81,34,,27,40,199,594135,2025,1,I,WLA,6,9,6,3,3,3,3,6,0,0,888:12:00,214,161,408,15
Charlotte,The American,276,234,126,360,508,380,276,256,133,68,25,,40,35,241,600896,2025,1,I,WLA,6,10,1,5,5,5,1,5,0,0,951:28:00,215,133,458,16
Rhode Island,Atlantic 10,232,196,70,266,438,331,232,237,104,113,55,,31,35,227,601777,2025,1,I,WLA,8,8,4,6,4,4,4,4,0,0,960:00:00,205,175,572,16
South Fla.,The American,303,281,125,406,648,475,318,258,168,124,58,,17,30,281,601806,2025,1,I,WLA,13,5,4,2,9,2,3,3,1,0,1065:39:00,189,148,651,18